Sample ID,Experiment ID,growth_qc,,Growth Well ID,16S Well ID,Media,Protocol,Initial OD,Final OD,Growth curve time,Growth curve OD,Notes,Data location,,Ai,Ac,Bfi,Bf,Bt,Bu,Bx,Ba,Csp,Dl,Ls,Mf,Pm,Bd,Bv,Rg,Bb,Bbi,Bc,Bl,Bt47,Bt61,Pg,Pj,Af,Ao,As,Bl.s,Col,Cs,Et,Eu.c,Eu.l,Im,Ld,Lsp,Mi,Pc,Va,Vp
2024930_WZY_DM_assembly_Plate1A10,2024930_WZY_DM_assembly_Plate1,,,A10,Plate1_A10,Galactose,cycle 5,,0.8905,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.009943715104873999,0.0008659691833073453,0.0,0.0008659691833073453,0.0019708264171822342,0.004389567929178613,0.005703452207300102,0.1783597907549922,0.0026128380530825077,0.0690834381235015,0.005106232080881243,2.9861006320942943e-05,0.0022992974867126065,0.025561021410727157,0.0,0.0,0.0,0.0,0.0011048572338748887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004777761011350871,0.0,0.07886291769361031,0.00974961856378787,0.0031652666700199518,0.029278716697684556,0.0,0.008137124222456951,0.0,0.0,0.0,0.0,0.12459504887413442,0.32833669500192814
2024930_WZY_DM_assembly_Plate1A11,2024930_WZY_DM_assembly_Plate1,,,A11,Plate1_A11,Galactose,cycle 5,,0.9725,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.09054984245912621,0.00019301858238023173,0.0,0.0027746421217158313,0.004463554717542859,0.012522080531917534,0.012666844468702707,0.04475618378941623,0.004270536135162627,0.015127831394050661,0.10121411913563402,0.02885627806584464,0.005525156920634133,0.4066660257523507,0.0,0.0,0.0,0.0,0.0006273103927357532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011098568486863324,0.0,0.11023773786190985,0.015296722653633367,0.004077517552782395,0.051174051653558934,0.0,0.029218187907807575,0.0,0.0,0.0,0.0,0.013463046121021163,0.01770945493338626
2024930_WZY_DM_assembly_Plate1A12,2024930_WZY_DM_assembly_Plate1,,,A12,Plate1_A12,Galactose,cycle 5,,0.9375,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.2642566909351928,1.6022354388843314e-05,0.0,0.0005447600492206727,0.018361618129614437,0.01083111156685808,0.00874820549630845,0.2116873461853979,0.00294811320754717,0.01078304450369155,0.00022431296144380638,0.10699728260869565,0.001169631870385562,0.19122679963084496,0.0,0.0,0.0,8.011177194421658e-05,0.001025430680885972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.204470877768663e-05,0.0,0.013234464725184579,0.0010574753896636588,0.00046464827727645615,0.027478337776866285,0.0,0.0018105260459392947,0.0,0.0,3.204470877768663e-05,0.0,0.027734695447087777,0.036755280968006565
2024930_WZY_DM_assembly_Plate1A1,2024930_WZY_DM_assembly_Plate1,,,A1,Plate1_A1,Glucose,cycle 5,,1.2345,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.05401497821350762,0.00039845073832001933,0.0,0.002415607601065117,0.371704732510288,0.0034117344468651656,0.00014941902687000725,0.046170479302832246,0.016411189784555795,0.013099068022270635,0.0,0.24723868312757202,0.0012202553861050591,0.012028231663035583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002291091745340111,0.0,0.029410645122246427,0.004084120067780198,0.0015439966109900751,0.022960723795691113,0.0,0.0024405107722101182,0.0,0.0,0.31973181433067055,0.0,0.0742861595255386,0.00948810820624546
2024930_WZY_DM_assembly_Plate1A2,2024930_WZY_DM_assembly_Plate1,,,A2,Plate1_A2,Glucose,cycle 5,,1.0345,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.035665045535630456,0.0001748286545864238,0.0,0.0018842643883203454,0.007420505116890432,0.013481231809219792,0.000679889212280537,0.18131674021218666,0.0060995775044596755,0.0012238005821049668,0.0,0.016200788658341937,0.0025835790066660405,0.07610874096328983,0.0,0.0,0.0,0.0,0.00036908271523800577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031274903764904704,0.0,0.09011445873626889,0.008799708947516664,0.00042735893343348044,0.006313256971176415,0.0,0.001146098957844334,0.0,0.0,0.1488957374894376,0.0,0.1187863580884424,0.31368145714017465
2024930_WZY_DM_assembly_Plate1A3,2024930_WZY_DM_assembly_Plate1,,,A3,Plate1_A3,Glucose,cycle 5,,1.0485,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.002207605543022881,0.0,0.0,0.0013290686432484691,0.12686973896229456,0.007185981308411215,0.0026130841121495326,0.1698054141153722,0.00353667418627135,0.01617408959071866,0.0,0.005947019013857557,0.002004866258459555,0.10623538511118272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015993876893329038,0.0,0.14703103448275864,0.016309249113760877,0.0017796003867225267,0.005901965839510152,0.0,0.00027031904608443443,0.0,0.0,0.01475491459877538,0.0,0.014732388011601677,0.40221221398646473
2024930_WZY_DM_assembly_Plate1A4,2024930_WZY_DM_assembly_Plate1,,,A4,Plate1_A4,Glucose,cycle 5,,1.0625,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.03235686844077961,0.0007964767616191904,0.0,0.0017588861819090454,0.008462565592203899,0.010520130559720139,0.0012610882058970516,0.05724676724137931,0.008263446401799102,0.024027048975512243,0.0003982383808095952,0.0,0.0030199743878060966,0.020276970889555223,0.0,0.0004646114442778611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031859070464767617,0.0,0.42249773550724634,0.01470163355822089,0.0038496376811594205,0.0048452336331834085,0.0,0.002920414792603698,0.0,0.0,0.055189202273863064,0.0,0.10908412981009495,0.2773730322338831
2024930_WZY_DM_assembly_Plate1A5,2024930_WZY_DM_assembly_Plate1,,,A5,Plate1_A5,Glucose,cycle 5,,1.0755,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.029105823805215102,0.0010616105947190916,0.001680883441638562,0.0015039483425187134,0.005484988072715307,0.01004106687505141,0.002786727811137616,0.06272349263798634,0.026142160894957637,0.0010616105947190916,0.004157974829316443,8.846754955992432e-05,0.0023886238381179564,0.7008841613885004,0.0,0.00017693509911984864,0.0,0.0006192728469194702,0.000575039072139508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007519741712593567,0.0,0.06436014230484494,0.002300156288558032,0.004113741054536481,0.05648653039401167,0.0,0.0011058443694990539,0.0,0.0,0.0013712470181788269,0.0,0.0813459118203504,0.013181664884428724
2024930_WZY_DM_assembly_Plate1A6,2024930_WZY_DM_assembly_Plate1,,,A6,Plate1_A6,Glucose,cycle 5,,1.0595,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.09963295209938018,8.243211701548278e-05,0.0,0.0014563007339401957,0.0003572058404004254,0.005880157680437771,0.00016486423403096556,0.09108748930210846,0.0035445810316657596,0.027257553359786305,0.0,0.0,0.001703597084986644,0.35349639513472864,0.002088280297725564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003077465701911357,0.0,0.01239229492466091,0.01645894603075806,0.0016761197126481497,0.004094128478435644,0.0,0.005797725563422289,0.0,0.0,0.1713763712751887,0.0,0.07506818122876631,0.1828069581680023
2024930_WZY_DM_assembly_Plate1A7,2024930_WZY_DM_assembly_Plate1,,,A7,Plate1_A7,Galactose,cycle 5,,0.9425,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.028267430478867584,0.0006859878526252384,0.0,0.0009225353880132517,0.0005204045778536292,0.002341820600341331,0.0037611058126694108,0.01641639895592812,0.00033116654954321853,0.005582521835157113,0.0660204171267945,0.0,0.0019396897901817088,0.3489549242043971,0.0,0.0,0.0,0.0,0.0006623330990864371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004494403172372252,0.0,0.08891821855235418,0.013412245256500352,0.0006623330990864371,0.02907169209918683,0.0,0.01625081568115651,0.0,0.0,0.0,0.0,0.011496210219857443,0.30583230850316234
